FIELD_NAME,ALONHADAT,BATDONGSAN,BATDONGSANCOMVN,DIAOCONLINE,DOTHINET,HOMEDY,MOGIVN,NHACHOTOT,NHADATCAFELAND,PROPZYVN,RONGBAY,REVERVN,SOSANHNHA,TINBATDONGSAN,YOUHOMES
LAND_TYPE,,,,,,,,,,,,,,,
LEGAL_STATUS,,,,,x,,,,,,,,,,
PRO_DIRECTION,,,,,,,x,,,,,,x,,
CITY,x,,,,,,,,x,,,,x,,
DISTRICT,x,,,,,,,,x,x,,,x,,
WARD,x,,x,,x,x,x,,x,x,,,x,,
STREET,x,,x,,x,x,x,,x,x,,,x,,
FULL_ADDRESS,,,,,,,,,,,,,,,
LAT,,,x,,,,,,,x,,,x,,
LON,,,x,,,,,,,x,,,x,,
DETAILED_BRIEF,,,,,,,,,,,,,,,
USED_SURFACE,x,,x,,x,x,x,,x,x,,,x,,
USED_SURFACE_UNIT,x,,x,,x,x,x,,x,x,,,x,,
USED_SURFACE_ORIGINAL,x,,x,,x,x,,,x,x,,,x,,
SURFACE,x,,x,,x,x,x,,x,x,,,x,,
SURFACE_UNIT,x,,x,,x,x,x,,x,x,,,x,,
SURFACE_ORIGINAL,,,,,,,,,,,,,,,
PRICE,x,,x,,x,x,x,,x,x,,,x,,
PRICE_UNIT,x,,x,,x,x,x,,x,x,,,x,,
PRICE_ORIGINAL,,,,,,,,,,,,,,,
PRO_LENGTH,,,x,,x,x,x,,,,,,x,,
PRO_WIDTH,,,x,,x,x,x,,,,,,x,,
ALLEY_ACCESS,,,,,,,x,,,,,,x,,
FRONTAGE,x,,,,,,x,,x,,,,,,
ADS_DATE,,,,,,,,,,x,,,,,
ADS_DATE_ORIGINAL,,,,,,,,,,x,,,,,